query,intent,response
How do I change my password?,reset_password,"To reset your password, click on 'Forgot Password' on the login page."
Can you help me reset my password?,reset_password,"To reset your password, click on 'Forgot Password' on the login page."
"I forgot my password, what should I do?",reset_password,"To reset your password, click on 'Forgot Password' on the login page."
Can you help me reset my password?,reset_password,"To reset your password, click on 'Forgot Password' on the login page."
How do I change my password?,reset_password,"To reset your password, click on 'Forgot Password' on the login page."
Can you help me reset my password?,reset_password,"To reset your password, click on 'Forgot Password' on the login page."
How do I change my password?,reset_password,"To reset your password, click on 'Forgot Password' on the login page."
Can you help me reset my password?,reset_password,"To reset your password, click on 'Forgot Password' on the login page."
Can you help me reset my password?,reset_password,"To reset your password, click on 'Forgot Password' on the login page."
"I forgot my password, what should I do?",reset_password,"To reset your password, click on 'Forgot Password' on the login page."
Can you help me reset my password?,reset_password,"To reset your password, click on 'Forgot Password' on the login page."
"I forgot my password, what should I do?",reset_password,"To reset your password, click on 'Forgot Password' on the login page."
Can you help me reset my password?,reset_password,"To reset your password, click on 'Forgot Password' on the login page."
How do I change my password?,reset_password,"To reset your password, click on 'Forgot Password' on the login page."
"I forgot my password, what should I do?",reset_password,"To reset your password, click on 'Forgot Password' on the login page."
How do I change my password?,reset_password,"To reset your password, click on 'Forgot Password' on the login page."
Can you help me reset my password?,reset_password,"To reset your password, click on 'Forgot Password' on the login page."
How do I change my password?,reset_password,"To reset your password, click on 'Forgot Password' on the login page."
How do I change my password?,reset_password,"To reset your password, click on 'Forgot Password' on the login page."
"I forgot my password, what should I do?",reset_password,"To reset your password, click on 'Forgot Password' on the login page."
"I forgot my password, what should I do?",reset_password,"To reset your password, click on 'Forgot Password' on the login page."
"I forgot my password, what should I do?",reset_password,"To reset your password, click on 'Forgot Password' on the login page."
How do I change my password?,reset_password,"To reset your password, click on 'Forgot Password' on the login page."
"I forgot my password, what should I do?",reset_password,"To reset your password, click on 'Forgot Password' on the login page."
Can you help me reset my password?,reset_password,"To reset your password, click on 'Forgot Password' on the login page."
How do I change my password?,reset_password,"To reset your password, click on 'Forgot Password' on the login page."
Can you help me reset my password?,reset_password,"To reset your password, click on 'Forgot Password' on the login page."
Can you help me reset my password?,reset_password,"To reset your password, click on 'Forgot Password' on the login page."
"I forgot my password, what should I do?",reset_password,"To reset your password, click on 'Forgot Password' on the login page."
"I forgot my password, what should I do?",reset_password,"To reset your password, click on 'Forgot Password' on the login page."
Can you help me reset my password?,reset_password,"To reset your password, click on 'Forgot Password' on the login page."
"I forgot my password, what should I do?",reset_password,"To reset your password, click on 'Forgot Password' on the login page."
Can you help me reset my password?,reset_password,"To reset your password, click on 'Forgot Password' on the login page."
How do I change my password?,reset_password,"To reset your password, click on 'Forgot Password' on the login page."
"I forgot my password, what should I do?",reset_password,"To reset your password, click on 'Forgot Password' on the login page."
Can you help me reset my password?,reset_password,"To reset your password, click on 'Forgot Password' on the login page."
"I forgot my password, what should I do?",reset_password,"To reset your password, click on 'Forgot Password' on the login page."
How do I change my password?,reset_password,"To reset your password, click on 'Forgot Password' on the login page."
How do I change my password?,reset_password,"To reset your password, click on 'Forgot Password' on the login page."
"I forgot my password, what should I do?",reset_password,"To reset your password, click on 'Forgot Password' on the login page."
Can you help me reset my password?,reset_password,"To reset your password, click on 'Forgot Password' on the login page."
Can you help me reset my password?,reset_password,"To reset your password, click on 'Forgot Password' on the login page."
How do I change my password?,reset_password,"To reset your password, click on 'Forgot Password' on the login page."
How do I change my password?,reset_password,"To reset your password, click on 'Forgot Password' on the login page."
How do I change my password?,reset_password,"To reset your password, click on 'Forgot Password' on the login page."
"I forgot my password, what should I do?",reset_password,"To reset your password, click on 'Forgot Password' on the login page."
How do I change my password?,reset_password,"To reset your password, click on 'Forgot Password' on the login page."
"I forgot my password, what should I do?",reset_password,"To reset your password, click on 'Forgot Password' on the login page."
Can you help me reset my password?,reset_password,"To reset your password, click on 'Forgot Password' on the login page."
How do I change my password?,reset_password,"To reset your password, click on 'Forgot Password' on the login page."
When is customer service available?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
Are you open on weekends?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
What time do you open?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
What time do you open?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
What time do you open?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
Are you open on weekends?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
What time do you open?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
What time do you open?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
What time do you open?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
Are you open on weekends?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
When is customer service available?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
Are you open on weekends?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
What time do you open?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
What time do you open?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
Are you open on weekends?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
When is customer service available?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
What time do you open?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
When is customer service available?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
What time do you open?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
What time do you open?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
What time do you open?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
What time do you open?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
What time do you open?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
Are you open on weekends?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
When is customer service available?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
Are you open on weekends?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
When is customer service available?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
What time do you open?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
What time do you open?,working_hours,"Our customer service is available from 8 AM to 8 PM, Monday through Saturday."
